15m_timestamp,15m_open,15m_high,15m_low,15m_close,15m_volume
1635445800000,60965.2,60987.06,57948.02,59156.15,91.95813
1635446700000,59156.15,60626.32,59143.57,60089.37,20.317227
1635447600000,60089.37,60214.33,59600.0,59750.26,12.444127
1635448500000,59750.26,60294.17,59640.4,60232.14,6.21779
1635449400000,60232.14,60328.53,60000.0,60250.55,4.226727
1635450300000,60250.55,61461.0,60250.55,61387.24,10.075265
1635451200000,61387.24,62500.0,61337.73,61900.0,21.912841
1635452100000,61900.0,61990.0,61598.33,61826.08,8.041299
1635453000000,61826.08,61928.89,61674.29,61681.17,2.955074
1635453900000,61681.17,61683.03,61010.71,61374.27,11.985511
1635454800000,61374.27,61374.27,60607.13,60744.7,13.149834
1635455700000,60744.7,60959.54,60465.1,60465.1,8.171132
1635456600000,60465.1,60858.41,60423.35,60654.92,0.921988
1635457500000,60654.92,60806.51,60601.63,60679.15,0.32575
1635458400000,60679.15,60909.12,60587.21,60651.5,3.481256
1635459300000,60651.5,60712.63,60556.46,60675.15,2.265282
1635460200000,60675.15,60755.64,60488.43,60606.53,2.977239
1635461100000,60606.53,60654.73,60414.34,60490.46,4.100289
1635462000000,60490.46,60671.89,60304.93,60668.18,9.626882
1635462900000,60668.18,60771.85,60566.91,60566.91,7.634543
1635463800000,60566.91,60566.91,60402.32,60452.99,4.785266
1635464700000,60452.99,60566.68,60413.26,60566.68,0.285501
1635465600000,60566.68,60731.29,60354.43,60354.43,3.000154
1635466500000,60354.43,60587.34,60200.0,60370.0,2.698194
1635467400000,60370.0,60600.0,60352.6,60579.67,2.855523
1635468300000,60579.67,61358.72,60579.67,61355.29,4.814579
1635469200000,61355.29,61421.64,61245.8,61265.61,0.905038
1635470100000,61265.61,62037.6,61224.2,61923.47,4.820902
1635471000000,61923.47,61985.01,61580.94,61581.83,7.545075
1635471900000,61581.83,61601.42,61400.0,61400.0,6.149327
1635472800000,61400.0,61722.98,61354.79,61603.78,1.714933
1635473700000,61603.78,61650.37,61422.91,61482.94,2.12014
1635474600000,61482.94,61486.27,61339.19,61486.27,1.308421
1635475500000,61486.27,61646.67,61439.91,61600.0,3.16074
1635476400000,61600.0,61683.23,61521.43,61561.4,0.513253
1635477300000,61561.4,61760.33,61499.99,61760.33,0.726965
1635478200000,61760.33,61791.51,61495.6,61549.99,6.316871
1635479100000,61549.99,61695.04,61502.99,61606.54,1.599107
1635480000000,61606.54,61663.24,61476.9,61488.0,0.534099
1635480900000,61488.0,61542.42,61475.42,61490.0,0.355207
1635481800000,61490.0,61540.77,61400.0,61452.32,2.58899
