1d_timestamp,1d_open,1d_high,1d_low,1d_close,1d_volume
1661299200000,21519.02,21897.64,21154.25,21366.01,1822.516966
1661385600000,21366.01,21811.0,21312.51,21563.81,1602.992599
1661472000000,21563.81,21868.78,20115.0,20244.11,4770.011922
1661558400000,20244.11,20371.8,19799.0,20043.3,2887.359237
1661644800000,20043.3,20158.75,19526.89,19555.66,1754.10149
1661731200000,19555.66,20427.41,19553.08,20293.48,2705.206325
1661817600000,20293.48,20574.55,19541.52,19811.52,2888.176734
1661904000000,19811.52,20494.03,19801.94,20051.21,2059.097645
1661990400000,20051.21,20203.29,19568.0,20133.28,2278.576658
1662076800000,20133.28,20434.07,19760.0,19955.34,2980.69022
1662163200000,19955.34,20049.0,19657.01,19833.16,934.81972
1662249600000,19833.16,20023.7,19591.01,20001.27,1272.552372
1662336000000,20001.27,20057.44,19640.66,19794.78,1486.096903
1662508800000,18789.67,19462.01,18525.51,19291.68,10226.076906
1662595200000,19291.68,19458.29,19015.1,19317.14,9319.062746
1662681600000,19317.14,21629.15,19291.51,21364.44,15658.380313
1662768000000,21364.44,21806.64,21116.39,21645.83,10141.894331
1662854400000,21645.83,21865.56,21344.7,21823.17,10159.162556
1662940800000,21823.17,22484.14,21545.45,22394.49,12758.906423
1663027200000,22394.49,22800.35,19872.68,20172.78,17393.000722
1663113600000,20172.78,20533.32,19623.37,20224.55,10286.717736
1663200000000,20224.55,20328.84,19500.0,19700.98,15309.748898
1663286400000,19700.98,19890.0,19335.0,19807.09,10869.969724
1663372800000,19807.09,20186.41,19745.41,20112.0,7160.104206
1663459200000,20112.0,20117.19,19335.26,19416.95,10339.976038
1663545600000,19416.95,19685.0,18252.0,19535.58,19308.471492
1663632000000,19535.58,19634.8,18725.0,18875.72,14739.245334
1663718400000,18875.72,19973.62,18137.44,18459.81,25010.862661
1663804800000,18459.81,19528.59,18359.11,19397.79,31107.745864
1663891200000,19397.79,19500.0,18533.32,19287.95,25769.583002
1663977600000,19287.95,19312.49,18806.0,18918.62,12318.194941
1664064000000,18918.62,19185.45,18631.69,18806.85,10335.961544
1664150400000,18806.85,19317.06,18681.23,19225.7,21738.984522
1664236800000,19225.7,20383.48,18812.6,19076.02,38366.885709
1664323200000,19076.02,19776.68,18468.11,19413.5,33819.821532
1664409600000,19413.5,19643.92,18842.36,19591.57,18815.481989
1664496000000,19591.57,20181.4,19154.67,19421.9,15431.264253
1664582400000,19421.9,19483.3,19161.74,19311.15,6395.494739
1664668800000,19311.15,19395.76,18921.46,19058.81,8467.058583
1664755200000,19058.81,19714.24,18962.08,19628.05,13583.105197
1664841600000,19628.05,20460.0,19493.08,20337.71,15544.788295
1664928000000,20337.71,20361.59,19736.83,20161.1,15353.507211
